iter	Logloss
0	0.624654561
1	0.5696007254
2	0.5273002947
3	0.4932707569
4	0.4529458569
5	0.4149412352
6	0.3840617478
7	0.3574945932
8	0.3346215103
9	0.3177582953
10	0.3060503083
11	0.2914102474
12	0.2811429697
13	0.250611848
14	0.2426193212
15	0.2377145747
16	0.2331558152
17	0.2275714394
18	0.224040527
19	0.2186517403
20	0.2155738335
21	0.2131825794
22	0.2101929625
23	0.2039428704
24	0.2006529731
25	0.1979430268
26	0.1947062535
27	0.1918234914
28	0.189775159
29	0.1874545859
30	0.1855382015
31	0.1840277908
32	0.182098192
33	0.1799203365
34	0.1777361154
35	0.1765452327
36	0.1753476347
37	0.1739318829
38	0.1726192193
39	0.171737557
40	0.170544939
41	0.1692252864
42	0.1681502943
43	0.1667152534
44	0.1656650646
45	0.1647479099
46	0.1640059087
47	0.1631431011
48	0.162462611
49	0.1617577637
50	0.1542367965
51	0.1534601312
52	0.1527433287
53	0.1520825699
54	0.1515559804
55	0.1509354275
56	0.1504026181
57	0.1491276549
58	0.1485204461
59	0.1479054423
60	0.1474848788
61	0.146781332
62	0.146537403
63	0.1460972092
64	0.1456551975
65	0.1452554614
66	0.1447770058
67	0.1440111703
68	0.1435911277
69	0.1431896438
70	0.1424459569
71	0.142218568
72	0.141796649
73	0.1412771284
74	0.1408686271
75	0.140560384
76	0.1403353534
77	0.1395565837
78	0.1392026002
79	0.1388702571
80	0.138668657
81	0.1383113424
82	0.1380655749
83	0.13792494
84	0.137631181
85	0.1373099597
86	0.1369872166
87	0.1367884177
88	0.1365309464
89	0.136265391
90	0.1358297858
91	0.1356528885
92	0.1354801276
93	0.1351961157
94	0.1349116092
95	0.1347444
96	0.1345013859
97	0.1342732121
98	0.1340596791
99	0.1338836286
100	0.1335398488
101	0.1333397615
102	0.1332205082
103	0.1329345379
104	0.1327919337
105	0.1326113059
106	0.1323904501
107	0.1318469634
108	0.1315494356
109	0.1313231631
110	0.1310590821
111	0.1308922457
112	0.1306901119
113	0.1297259648
114	0.129471988
115	0.1293064558
116	0.129160175
117	0.1289077648
118	0.1288030685
119	0.1286586753
120	0.1284592693
121	0.1278759777
122	0.1272803049
123	0.1266808727
124	0.1264740474
125	0.1259718877
126	0.1257081625
127	0.125564424
128	0.1252303951
129	0.1249553932
130	0.124523115
131	0.1243784829
132	0.1238215755
133	0.1237210989
134	0.1236070996
135	0.1235174335
136	0.1233253618
137	0.1231927442
138	0.1231134278
139	0.122780139
140	0.1226488708
141	0.1224784707
142	0.1221908343
143	0.1221170618
144	0.1219346098
145	0.1217925861
146	0.1217357013
147	0.1216494438
148	0.1213751658
149	0.1212672798
150	0.1210816114
151	0.1206695243
152	0.1205978495
153	0.120512453
154	0.1203895641
155	0.1203355981
156	0.1202590023
157	0.1201590836
158	0.1199785748
159	0.1198562973
160	0.1196160275
161	0.1194990049
162	0.1194160614
163	0.1193407932
164	0.119086898
165	0.1190135698
166	0.1188997076
167	0.1188552388
168	0.1186622002
169	0.118529571
170	0.1184433133
171	0.1182895105
172	0.1181447421
173	0.1180267782
174	0.1179683261
175	0.1177678622
176	0.1176810752
177	0.1176184626
178	0.1175031595
179	0.1174133191
180	0.1173396072
181	0.1172494792
182	0.1171834548
183	0.117063489
184	0.1169913071
185	0.1167702343
186	0.116699021
187	0.1166050217
188	0.1164179168
189	0.1163304376
190	0.1162737689
191	0.1161936129
192	0.1159699074
193	0.1159041401
194	0.1157877692
195	0.114329067
196	0.1142631132
197	0.1136865352
198	0.1135825022
199	0.1135199023
200	0.1132404049
201	0.1131945581
202	0.1130993713
203	0.1130092723
204	0.1129695402
205	0.1129124424
206	0.1128354197
207	0.1124837784
208	0.1123527135
209	0.11222395
210	0.1120399298
211	0.1120035006
212	0.1119458214
213	0.111845213
214	0.1117341232
215	0.1115256545
216	0.1114479138
217	0.111322386
218	0.1112392091
219	0.1110076947
220	0.1109204294
221	0.1108806748
222	0.1107003149
223	0.1106071567
224	0.1105363363
225	0.1104436924
226	0.1101520005
227	0.110066304
228	0.110019998
229	0.109957285
230	0.1098842163
231	0.1098456646
232	0.1097672106
233	0.1096944209
234	0.1095961928
235	0.1095538479
236	0.1095046075
237	0.1094331489
238	0.1094008476
239	0.109372865
240	0.1093176392
241	0.1092611822
242	0.1092206473
243	0.1091505371
244	0.1089624257
245	0.108827845
246	0.1087784341
247	0.1087143905
248	0.1086233317
249	0.1085760408
250	0.1085420867
251	0.1085193964
252	0.1084038928
253	0.1083562928
254	0.1083125306
255	0.1081859922
256	0.1080173151
257	0.1078990376
258	0.107856463
259	0.1077240816
260	0.1076737544
261	0.1076131826
262	0.1075031457
263	0.1074483233
264	0.1073287709
265	0.1072721093
266	0.1070984325
267	0.1070409078
268	0.1069729492
269	0.1069135
270	0.1068880375
271	0.1067604869
272	0.1066383306
273	0.1065844114
274	0.1064269419
275	0.1063760117
276	0.1063121154
277	0.1062255384
278	0.1061695982
279	0.1061297965
280	0.1060650872
281	0.1059700281
282	0.1059201301
283	0.1058905449
284	0.1058021641
285	0.1057726095
286	0.1057282789
287	0.105691412
288	0.1056397821
289	0.1055411507
290	0.1054974534
291	0.1054388997
292	0.1053696484
293	0.1053093529
294	0.1051969985
295	0.1051479476
296	0.1050777949
297	0.105037486
298	0.1049766622
299	0.1049294391
300	0.1048275017
301	0.1047668573
302	0.1046343254
303	0.1045998938
304	0.1045392105
305	0.1044946363
306	0.1044266242
307	0.1043657625
308	0.1042259747
309	0.1041991552
310	0.1041283521
311	0.1040802735
312	0.1039787549
313	0.1039329576
314	0.1038530846
315	0.1038156653
316	0.1037275043
317	0.1036526097
318	0.103581645
319	0.1035447023
320	0.1035153729
321	0.1034435479
322	0.1033841652
323	0.103353593
324	0.1033231688
325	0.1031294889
326	0.1030713011
327	0.1030134163
328	0.102960153
329	0.1029313784
330	0.1028554885
331	0.1028042644
332	0.1027617917
333	0.1027032709
334	0.1026262556
335	0.1025620324
336	0.1025220397
337	0.1023954965
338	0.1023567014
339	0.1023064622
340	0.1021564825
341	0.1021123407
342	0.102069712
343	0.1020147603
344	0.1019131124
345	0.1018419303
346	0.101811964
347	0.1017570647
348	0.1017311964
349	0.1016638756
350	0.1015405967
351	0.1014987391
352	0.1014240467
353	0.1013863357
354	0.1013412929
355	0.1013157672
356	0.1012322722
357	0.1011598871
358	0.1011189651
359	0.1010588091
360	0.1010007001
361	0.1009229293
362	0.1008920528
363	0.1007800245
364	0.1007295469
365	0.1006960052
366	0.1006642832
367	0.1005748197
368	0.1005181766
369	0.1004868003
370	0.1004370428
371	0.100390483
372	0.1003280364
373	0.1003010269
374	0.1002815924
375	0.1002509968
376	0.1002139846
377	0.1001718576
378	0.1001303833
379	0.1000252218
380	0.09997830269
381	0.09991071366
382	0.09978464523
383	0.09973429062
384	0.09971461551
385	0.09966955957
386	0.09961876398
387	0.09957057645
388	0.09954778816
389	0.09946073293
390	0.09936649845
391	0.09931614535
392	0.09927183217
393	0.09919223137
394	0.09915111215
395	0.09912926405
396	0.09910894492
397	0.09903602077
398	0.09898738975
399	0.09895709231
400	0.09889244692
401	0.0988537282
402	0.09880202962
403	0.09874857133
404	0.09871666765
405	0.09867891653
406	0.09859262256
407	0.09854202213
408	0.09849744179
409	0.09848032299
410	0.09841628445
411	0.09838441801
412	0.09834680702
413	0.0983163999
414	0.09827416197
