iter	Passed	Remaining
0	7	7468
1	15	7869
2	26	8880
3	35	8941
4	43	8724
5	52	8762
6	61	8749
7	70	8769
8	79	8785
9	88	8767
10	97	8792
11	105	8726
12	115	8734
13	124	8780
14	134	8805
15	144	8914
16	155	9015
17	164	8986
18	173	8950
19	182	8958
20	193	9004
21	201	8967
22	210	8941
23	219	8920
24	228	8918
25	237	8914
26	249	8998
27	259	9006
28	267	8960
29	276	8937
30	285	8926
31	294	8909
32	303	8900
33	313	8898
34	321	8870
35	330	8839
36	338	8798
37	347	8795
38	357	8800
39	366	8795
40	375	8777
41	384	8760
42	392	8740
43	399	8688
44	408	8665
45	416	8644
46	424	8616
47	432	8578
48	441	8566
49	449	8546
50	457	8518
51	465	8492
52	473	8463
53	481	8443
54	490	8419
55	498	8399
56	506	8372
57	513	8342
58	521	8325
59	529	8291
60	537	8274
61	545	8256
62	554	8245
63	562	8229
64	570	8213
65	579	8202
66	587	8183
67	596	8171
68	604	8159
69	612	8137
70	620	8123
71	629	8108
72	637	8091
73	646	8088
74	654	8074
75	663	8061
76	671	8044
77	679	8035
78	690	8047
79	699	8043
80	708	8036
81	718	8040
82	726	8024
83	734	8013
84	743	7998
85	751	7988
86	760	7977
87	767	7957
88	777	7956
89	785	7944
90	794	7936
91	804	7939
92	813	7931
93	821	7918
94	829	7903
95	852	8024
96	870	8106
97	888	8174
98	895	8150
99	905	8148
100	914	8144
101	923	8132
102	932	8119
103	940	8102
104	948	8085
105	957	8072
106	965	8059
107	973	8042
108	981	8024
109	990	8010
110	998	7994
111	1004	7967
112	1011	7940
113	1019	7926
114	1028	7913
115	1036	7900
116	1044	7885
117	1051	7860
118	1059	7844
119	1067	7827
120	1075	7811
121	1083	7798
122	1092	7790
123	1100	7771
124	1108	7760
125	1117	7751
126	1126	7741
127	1134	7730
128	1143	7719
129	1151	7705
130	1159	7692
131	1169	7687
132	1177	7677
133	1186	7667
134	1193	7646
135	1201	7633
136	1209	7621
137	1218	7608
138	1226	7595
139	1233	7577
140	1241	7562
141	1249	7546
142	1257	7533
143	1265	7522
144	1273	7509
145	1281	7497
146	1289	7484
147	1297	7468
148	1305	7456
149	1313	7440
150	1321	7428
151	1329	7416
152	1337	7404
153	1345	7388
154	1353	7377
155	1361	7366
156	1369	7353
157	1378	7344
158	1386	7333
159	1395	7324
160	1403	7312
161	1410	7297
162	1418	7284
163	1427	7275
164	1435	7266
165	1444	7258
166	1453	7249
167	1462	7241
168	1471	7234
169	1480	7228
170	1488	7216
171	1498	7211
172	1507	7204
173	1515	7195
174	1524	7187
175	1534	7184
176	1544	7182
177	1555	7180
178	1563	7172
179	1571	7159
180	1579	7145
181	1587	7134
182	1596	7127
183	1604	7116
184	1613	7107
185	1622	7098
186	1630	7088
187	1638	7078
188	1646	7063
189	1656	7059
190	1663	7046
191	1673	7043
192	1681	7031
193	1691	7026
194	1700	7018
195	1709	7013
196	1719	7008
197	1729	7005
198	1738	6998
199	1747	6989
200	1755	6979
201	1764	6971
202	1773	6962
203	1781	6950
204	1789	6938
205	1797	6928
206	1806	6919
207	1817	6919
208	1826	6913
209	1835	6906
210	1845	6899
211	1853	6891
212	1862	6880
213	1869	6867
214	1878	6858
215	1887	6849
216	1895	6840
217	1903	6826
218	1911	6817
219	1920	6809
220	1929	6800
221	1937	6788
222	1945	6778
223	1953	6769
224	1962	6760
225	1971	6750
226	1979	6741
227	1987	6730
228	1995	6719
229	2005	6712
230	2015	6710
231	2026	6707
232	2038	6709
233	2046	6699
234	2055	6691
235	2064	6684
236	2072	6671
237	2080	6659
238	2088	6649
239	2096	6638
240	2105	6630
241	2112	6618
242	2121	6608
243	2129	6598
244	2137	6585
245	2145	6575
246	2154	6568
247	2161	6554
248	2171	6548
249	2179	6537
250	2187	6528
251	2195	6518
252	2204	6509
253	2212	6498
254	2219	6483
255	2225	6468
256	2233	6458
257	2240	6445
258	2248	6433
259	2257	6424
260	2265	6415
261	2273	6403
262	2281	6394
263	2290	6384
264	2297	6371
265	2304	6359
266	2312	6349
267	2321	6340
268	2329	6331
269	2338	6322
270	2346	6311
271	2354	6301
272	2362	6292
273	2370	6280
274	2377	6267
275	2385	6258
276	2393	6248
277	2402	6238
278	2410	6228
279	2418	6219
280	2427	6211
281	2435	6202
282	2444	6192
283	2452	6182
284	2460	6173
285	2469	6164
286	2477	6154
287	2485	6145
288	2494	6137
289	2503	6129
290	2511	6119
291	2519	6109
292	2527	6099
293	2536	6090
294	2544	6081
295	2552	6071
296	2560	6060
297	2568	6050
298	2576	6040
299	2584	6030
300	2593	6023
301	2601	6012
302	2609	6002
303	2617	5992
304	2626	5984
305	2634	5975
306	2641	5962
307	2648	5950
308	2656	5941
309	2664	5930
310	2673	5922
311	2680	5911
312	2689	5902
313	2697	5892
314	2705	5883
315	2713	5873
316	2721	5864
317	2729	5854
318	2737	5844
319	2745	5833
320	2753	5824
321	2762	5816
322	2771	5808
323	2779	5798
324	2787	5789
325	2795	5780
326	2803	5770
327	2811	5759
328	2819	5750
329	2828	5742
330	2835	5731
331	2843	5721
332	2852	5713
333	2860	5703
334	2867	5692
335	2875	5683
336	2884	5674
337	2892	5665
338	2900	5655
339	2909	5647
340	2917	5638
341	2926	5630
342	2935	5622
343	2943	5612
344	2951	5603
345	2959	5594
346	2967	5585
347	2976	5575
348	2984	5566
349	2991	5556
350	3000	5548
351	3008	5539
352	3017	5530
353	3025	5521
354	3034	5512
355	3042	5503
356	3051	5495
357	3059	5486
358	3067	5477
359	3075	5467
360	3083	5458
361	3091	5448
362	3100	5440
363	3108	5430
364	3116	5421
365	3123	5410
366	3132	5402
367	3140	5393
368	3148	5383
369	3156	5374
370	3163	5364
371	3172	5354
372	3180	5345
373	3188	5336
374	3196	5327
375	3204	5318
376	3211	5306
377	3219	5297
378	3226	5286
379	3234	5277
380	3242	5268
381	3251	5260
382	3259	5251
383	3266	5240
384	3274	5231
385	3283	5222
386	3291	5213
387	3299	5204
388	3307	5194
389	3315	5186
390	3324	5177
391	3333	5169
392	3341	5161
393	3348	5149
394	3356	5140
395	3364	5131
396	3372	5122
397	3381	5114
398	3389	5104
399	3397	5096
400	3403	5084
401	3410	5073
402	3419	5065
403	3426	5055
404	3435	5046
405	3443	5038
406	3452	5029
407	3460	5020
408	3469	5012
409	3477	5004
410	3486	4997
411	3495	4988
412	3503	4979
413	3511	4970
414	3520	4962
415	3528	4953
416	3536	4944
417	3544	4935
418	3555	4929
419	3566	4925
420	3579	4922
421	3589	4916
422	3598	4908
423	3607	4900
424	3615	4891
425	3623	4882
426	3632	4874
427	3640	4864
428	3648	4856
429	3657	4847
430	3665	4839
431	3674	4830
432	3682	4822
433	3690	4813
434	3699	4804
435	3707	4796
436	3715	4787
437	3724	4778
438	3732	4769
439	3740	4760
440	3749	4752
441	3757	4743
442	3766	4735
443	3774	4726
444	3782	4717
445	3790	4708
446	3798	4699
447	3805	4689
448	3814	4680
449	3822	4672
